;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
4-1-2022 06:00;0.000465041;0.001;0.001;200;90;0.25;;
4-1-2022 07:00;0.000531823;0.001;0.001;200;90;0.25;;
4-1-2022 08:00;0.000553861;0.001;0.001;200;90;0.25;;
4-1-2022 09:00;0.000574471;0.001;0.001;200;90;0.25;;
4-1-2022 10:00;0.000606242;0.001;0.001;200;90;0.25;;
4-1-2022 11:00;0.000615115;0.001;0.001;200;90;0.25;;
4-1-2022 12:00;0.00060592;0.001;0.001;200;90;0.25;;
4-1-2022 13:00;0.000584146;0.001;0.001;200;90;0.25;;
4-1-2022 14:00;0.000579257;0.001;0.001;200;90;0.25;;
4-1-2022 15:00;0.000603061;0.001;0.001;200;90;0.25;;
4-1-2022 16:00;0.000642622;0.001;0.001;200;90;0.25;;
4-1-2022 17:00;0.000653061;0.001;0.001;200;90;0.25;;
4-1-2022 18:00;0.000642721;0.001;0.001;200;90;0.25;;
4-1-2022 19:00;0.000570975;0.001;0.001;200;90;0.25;;
4-1-2022 20:00;0.000508237;0.001;0.001;200;90;0.25;;
4-1-2022 21:00;0.000467909;0.001;0.001;200;90;0.25;;
4-1-2022 22:00;0.000394921;0.001;0.001;200;90;0.25;;
4-1-2022 23:00;0.000316484;0.001;0.001;200;90;0.25;;
5-1-2022 00:00;0.00032206;0.001;0.001;200;90;0.25;;
5-1-2022 01:00;0.000315832;0.001;0.001;200;90;0.25;;
5-1-2022 02:00;0.000312367;0.001;0.001;200;90;0.25;;
5-1-2022 03:00;0.000311417;0.001;0.001;200;90;0.25;;
5-1-2022 04:00;0.000324078;0.001;0.001;200;90;0.25;;
5-1-2022 05:00;0.000420133;0.001;0.001;200;90;0.25;;
5-1-2022 06:00;0.000518599;0.001;0.001;200;90;0.25;;
5-1-2022 07:00;0.00058242;0.001;0.001;200;90;0.25;;
5-1-2022 08:00;0.000603731;0.001;0.001;200;90;0.25;;
5-1-2022 09:00;0.000623188;0.001;0.001;200;90;0.25;;
5-1-2022 10:00;0.000650703;0.001;0.001;200;90;0.25;;
5-1-2022 11:00;0.000661157;0.001;0.001;200;90;0.25;;
5-1-2022 12:00;0.000652076;0.001;0.001;200;90;0.25;;
5-1-2022 13:00;0.000631405;0.001;0.001;200;90;0.25;;
5-1-2022 14:00;0.000626099;0.001;0.001;200;90;0.25;;
5-1-2022 15:00;0.000647891;0.001;0.001;200;90;0.25;;
5-1-2022 16:00;0.000683709;0.001;0.001;200;90;0.25;;
5-1-2022 17:00;0.000694533;0.001;0.001;200;90;0.25;;
5-1-2022 18:00;0.000684628;0.001;0.001;200;90;0.25;;
5-1-2022 19:00;0.000620351;0.001;0.001;200;90;0.25;;
5-1-2022 20:00;0.000561242;0.001;0.001;200;90;0.25;;
5-1-2022 21:00;0.000521791;0.001;0.001;200;90;0.25;;
5-1-2022 22:00;0.000452679;0.001;0.001;200;90;0.25;;
5-1-2022 23:00;0.000377994;0.001;0.001;200;90;0.25;;
